@relation ev22-weka.filters.unsupervised.attribute.NumericToNominal-R4-16-weka.filters.supervised.instance.Resample-B0.0-S1-Z66.6-no-replacement

@attribute RespondentID numeric
@attribute 'Knowledge level' {Intermediate,Novice,Advanced,Expert}
@attribute 'Interest level' {Some,'A lot','Not much','Not at all'}
@attribute England {1,2,3,4,5}
@attribute France {1,2,3,4,5}
@attribute Germany {1,2,3,4,5}
@attribute Greece {1,2,3,4,5}
@attribute Italy {2,3,4,5}
@attribute Japan {1,2,3,4,5}
@attribute Mexico {1,2,3,4,5}
@attribute Spain {1,2,3,4,5}
@attribute 'United States' {1,2,3,4,5}
@attribute China {1,2,3,4,5}
@attribute India {1,2,3,4,5}
@attribute Thailand {1,2,3,4,5}
@attribute Ireland {1,2,3,4,5}
@attribute Gender {Male,Female}
@attribute Age {18-29,30-44,45-60,'> 60'}
@attribute Education {'Less than high school degree','Some college or Associate degree','Graduate degree','High school degree','Bachelor degree'}
@attribute 'Household Income' {'$100,000 - $149,999','$50,000 - $99,999','$0 - $24,999','$25,000 - $49,999','$150,000+'}

@data
3308673383,Novice,Some,3,3,3,4,3,4,3,4,4,4,4,4,3,Male,45-60,'Some college or Associate degree','$100,000 - $149,999'
3306599228,Expert,'A lot',2,5,5,4,4,5,4,5,5,4,5,5,3,Male,30-44,'Graduate degree','$100,000 - $149,999'
3306457768,Intermediate,Some,3,3,3,4,4,4,5,4,2,4,5,4,3,Female,18-29,'High school degree','$100,000 - $149,999'
3306855448,Intermediate,'A lot',3,3,3,3,5,4,1,3,5,3,1,4,3,Male,45-60,'Bachelor degree','$100,000 - $149,999'
3308344240,Novice,'Not much',2,4,3,5,4,3,2,3,4,4,4,5,2,Female,'> 60','Bachelor degree','$100,000 - $149,999'
3308434238,Novice,'Not much',3,3,3,4,4,4,4,3,3,4,4,4,4,Male,30-44,'Graduate degree','$100,000 - $149,999'
3306495664,Intermediate,Some,5,4,5,4,5,1,4,4,4,2,1,2,5,Female,30-44,'Graduate degree','$100,000 - $149,999'
3308532157,Intermediate,'A lot',3,5,5,4,5,3,3,4,4,3,3,3,4,Female,'> 60','Graduate degree','$100,000 - $149,999'
3308577829,Novice,'Not at all',3,4,3,4,4,4,3,4,3,3,2,4,3,Female,'> 60','Graduate degree','$100,000 - $149,999'
3306396105,Intermediate,'A lot',2,4,5,5,5,4,4,4,4,4,4,4,3,Male,'> 60','Graduate degree','$100,000 - $149,999'
3307212143,Novice,Some,4,4,4,4,5,4,5,4,5,5,4,5,5,Male,18-29,'Some college or Associate degree','$100,000 - $149,999'
3308444562,Intermediate,Some,4,4,5,5,5,3,5,4,4,3,5,3,4,Female,45-60,'Graduate degree','$100,000 - $149,999'
3306810609,Intermediate,Some,5,5,4,4,5,4,3,4,5,5,2,3,3,Male,45-60,'Bachelor degree','$100,000 - $149,999'
3308379680,Intermediate,Some,2,2,4,4,3,2,4,3,4,3,4,3,3,Male,'> 60','Some college or Associate degree','$100,000 - $149,999'
3306516865,Intermediate,Some,2,4,3,4,5,4,4,3,3,4,4,4,2,Female,30-44,'Bachelor degree','$100,000 - $149,999'
3308456133,Novice,Some,2,3,4,4,5,4,4,3,4,3,2,4,2,Male,'> 60','Graduate degree','$100,000 - $149,999'
3306443601,Intermediate,'A lot',3,3,3,5,5,5,5,5,5,5,3,5,3,Female,30-44,'Graduate degree','$100,000 - $149,999'
3308619723,Intermediate,'A lot',2,5,3,3,4,3,3,3,5,4,3,4,2,Female,'> 60','Graduate degree','$100,000 - $149,999'
3306873611,Intermediate,'A lot',4,2,3,5,4,4,5,3,3,4,5,5,3,Male,18-29,'Bachelor degree','$100,000 - $149,999'
3306492439,Intermediate,Some,3,5,3,3,5,4,4,4,5,5,4,3,3,Male,'> 60','Bachelor degree','$100,000 - $149,999'
3306396065,Intermediate,'A lot',1,5,4,5,5,4,5,4,5,4,4,4,4,Female,45-60,'Graduate degree','$100,000 - $149,999'
3306500100,Intermediate,'A lot',3,5,3,4,5,4,5,5,5,5,4,4,3,Female,18-29,'Bachelor degree','$100,000 - $149,999'
3306472552,Novice,Some,3,3,3,4,3,3,4,4,4,3,3,3,3,Female,45-60,'Some college or Associate degree','$100,000 - $149,999'
3308687706,Novice,'A lot',2,3,5,4,5,5,3,3,3,5,5,4,3,Male,'> 60','Graduate degree','$100,000 - $149,999'
3308530868,Intermediate,'A lot',4,4,3,5,4,5,4,4,4,5,5,5,3,Female,45-60,'Graduate degree','$100,000 - $149,999'
3306762931,Novice,'Not at all',4,4,3,4,4,2,3,4,2,4,3,4,3,Male,45-60,'High school degree','$100,000 - $149,999'
3306481290,Intermediate,Some,3,3,3,4,4,4,5,4,4,4,4,4,4,Female,30-44,'Bachelor degree','$100,000 - $149,999'
3308326448,Novice,'Not at all',3,1,5,3,3,3,4,4,4,3,4,3,3,Male,'> 60','Graduate degree','$100,000 - $149,999'
3308556179,Advanced,'Not much',3,4,3,5,5,4,5,3,4,4,4,2,3,Female,30-44,'Some college or Associate degree','$100,000 - $149,999'
3308537493,Intermediate,Some,2,5,5,5,5,3,4,4,4,4,1,4,3,Female,18-29,'High school degree','$100,000 - $149,999'
3306506845,Novice,'Not much',2,4,3,4,4,4,3,4,5,3,3,3,3,Male,'> 60','Some college or Associate degree','$100,000 - $149,999'
3308497447,Intermediate,'A lot',2,5,4,4,5,4,5,4,4,4,5,4,3,Female,30-44,'Graduate degree','$100,000 - $149,999'
3306496317,Novice,Some,2,4,3,4,5,4,4,4,4,3,3,4,3,Male,45-60,'Graduate degree','$100,000 - $149,999'
3308793678,Intermediate,Some,3,3,4,2,5,4,5,3,5,5,2,1,3,Male,'> 60','Graduate degree','$100,000 - $149,999'
